user_id,Attrition
442,0.087564506
1091,0.005558105
981,0.023826027
785,0.039501593
1332,0.91639847
501,0.07288849
1058,0.36776224
1253,0.017104523
751,0.0056865406
122,0.24363507
268,0.0059893816
940,0.043020308
1125,0.026012003
540,0.8850168
1034,0.011069216
432,0.00081079826
794,0.02425535
666,0.01745756
942,0.016200896
1114,0.07125285
853,0.6796707
1330,0.013351008
692,0.0035613563
548,0.0035594278
54,0.4940437
319,0.26016864
1147,0.024402851
1235,0.0067543085
1436,0.67345303
520,0.004015643
983,0.012277346
1347,0.010412013
465,0.115470774
966,0.059364524
31,0.006056365
420,0.006374685
1462,0.045997478
1408,0.018164549
89,0.0968391
298,0.013336932
875,0.033164263
1385,0.01606237
1430,0.009471222
223,0.03376512
1412,0.021626929
1375,0.5443429
4,0.12186121
1174,0.0016639496
892,0.90382427
34,0.6119198
1310,0.084921494
182,0.5065236
467,0.057778463
52,0.03700672
1032,0.5265063
142,0.008917134
1440,0.0029779067
528,0.020394864
629,0.0023046483
1051,0.2218507
1269,0.006072685
993,0.027310938
526,0.012823616
278,0.0059642396
887,0.24223104
1275,0.018627102
667,0.020711841
792,0.009051693
148,0.072420835
1039,0.034207582
1414,0.0649048
474,0.1563996
1341,0.028711518
1158,0.00488727
393,0.0036012495
965,0.04166938
1397,0.021993691
743,0.009305058
980,0.1028705
1410,0.0027615984
916,0.00323056
1300,0.003972238
642,0.007513457
1064,0.012455605
1318,0.019575393
1247,0.013918024
187,0.016826106
1023,0.07960428
1183,0.030288294
1073,0.03864003
1311,0.73843694
9,0.0070641395
1019,0.024423884
1180,0.40445802
1405,0.005985454
1120,0.009104418
483,0.025947973
310,0.31152472
722,0.0014643373
5,0.02138991
482,0.037195303
204,0.16810761
1086,0.30583152
376,0.015044028
740,0.0043228427
299,0.004136008
1218,0.043274153
546,0.46709
1434,0.05020588
1400,0.016169878
302,0.087127104
1096,0.02507479
360,0.0102587305
1131,0.01534738
191,0.051137406
315,0.013774503
211,0.004748295
215,0.011288568
279,0.0060608475
1179,0.0009487809
141,0.028320564
1227,0.0037229464
641,0.006125376
14,0.8071525
82,0.27225208
1301,0.01126414
787,0.0015880981
583,0.021672174
333,0.04080974
610,0.0078036105
390,0.004328823
1083,0.24598661
2,0.43164766
554,0.16085835
85,0.03881169
995,0.07212998
107,0.2687467
930,0.02120375
1306,0.016200865
1308,0.012224146
489,0.009944504
361,0.01664447
1090,0.0607115
80,0.042105533
152,0.07051867
1452,0.007678872
1093,0.016675953
231,0.011056867
693,0.027217455
96,0.008087194
224,0.010187169
948,0.06095168
1015,0.010906077
913,0.05473017
445,0.046145443
1,0.012997678
425,0.01447318
159,0.028390633
1210,0.04661105
227,0.009300487
838,0.37641737
1416,0.0041422313
161,0.11026985
656,0.7188872
308,0.0107584465
253,0.08316493
1084,0.49591744
113,0.0037273103
1292,0.0020352006
898,0.0070258863
295,0.017983658
608,0.015286912
175,0.010563818
970,0.075111896
45,0.0060456274
487,0.042015675
1358,0.007144825
55,0.050372016
657,0.07192834
1126,0.056856908
254,0.0015098347
491,0.005173709
867,0.0015655847
1396,0.801291
587,0.009293864
863,0.0078115556
536,0.1539018
619,0.0104508
192,0.060040124
1411,0.041918296
1460,0.3024745
1273,0.8218801
1425,0.01644614
574,0.0018625533
108,0.015877219
651,0.022986418
567,0.0057518906
728,0.006529944
842,0.59472805
426,0.03385831
260,0.04273703
580,0.009267448
1021,0.09519388
1173,0.0040850695
572,0.09907454
679,0.032265402
1349,0.38771328
233,0.0036110636
303,0.035765413
506,0.01168239
364,0.024834273
1100,0.009608776
27,0.0038461047
1056,0.013489167
317,0.020411372
471,0.006856098
907,0.004075257
202,0.1277369
1129,0.019654622
1069,0.3088711
1263,0.020192431
381,0.16577491
1137,0.73120224
914,0.06794489
634,0.09017343
184,0.0043166815
431,0.018108355
1413,0.37713924
1438,0.63791585
1361,0.027771384
326,0.00321664
19,0.10852338
726,0.0037448707
330,0.010979286
353,0.0042556277
1074,0.101915225
1360,0.14110771
412,0.0016123174
1149,0.013449604
649,0.015269465
1279,0.020233907
638,0.020665858
18,0.0076027536
500,0.022279464
1099,0.03097264
1075,0.0047253855
53,0.026909558
632,0.22535604
874,0.010040105
342,0.024408216
47,0.033923116
459,0.03140302
748,0.11551029
609,0.012905703
989,0.12755346
1038,0.018353915
473,0.005593998
711,0.913509
717,0.045855355
140,0.56437963
1123,0.0629299
39,0.018915767
1368,0.07296466
1026,0.016702902
322,0.030808914
742,0.2335136
935,0.0046874075
479,0.056740113
1236,0.084315136
1079,0.0026417633
461,0.015784524
58,0.003672059
241,0.0069376687
1103,0.008758514
783,0.0025854302
1399,0.049708225
56,0.078563966
665,0.09085376
575,0.05073645
505,0.04631874
443,0.09178204
1283,0.02198924
516,0.012100546
29,0.0066878977
270,0.038581923
924,0.160984
1288,0.00058488373
985,0.05750748
1327,0.009164511
1439,0.01079243
481,0.010470607
124,0.46277165
198,0.0028938623
1229,0.01965035
